year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,212930,1690,211240,40870,460,40410
2006,214640,1720,212920,41430,460,40970
2007,180510,2030,178480,40910,450,40460
2008,184450,1990,182460,40930,450,40480
2009,194280,1910,192370,40610,440,40170
2010,209060,1970,207090,40230,390,39840
2011,232620,2140,230480,39970,450,39520
2012,229060,2190,226870,39920,410,39510
2013,234580,2240,232340,40030,410,39620
2014,235030,2360,232670,40430,430,40000
2015,234190,2350,231840,40730,440,40290
2016,249260,2600,246660,40890,440,40450
2017,255180,2470,252710,41070,460,40610
2018,268670,2550,266120,41400,480,40920
2019,271270,2670,268600,42260,500,41760
2020,279100,2620,276480,42690,520,42170
2021,284200,2650,281550,44130,530,43600
2022,290560,2710,287850,43780,530,43250
2023,300590,2800,297790,43700,530,43170
2024,313510,2790,310720,42780,530,42250
