year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,63740,33050,30690,20610,10930,9680
2006,66670,34870,31800,20330,10770,9560
2007,71380,38670,32710,19730,10370,9360
2008,74340,39850,34490,20510,10490,10020
2009,74490,40630,33860,20790,10630,10160
2010,74030,40050,33980,21530,11450,10080
2011,75190,40880,34310,20620,10510,10110
2012,79190,43120,36070,20130,10990,9140
2013,79030,42670,36360,20200,11250,8950
2014,79990,43340,36650,20170,11140,9030
2015,80900,44950,35950,20940,12140,8800
2016,81080,44960,36120,21270,12160,9110
2017,80500,44730,35770,21210,12080,9130
2018,83180,46570,36610,20960,12130,8830
2019,82310,45660,36650,20970,12100,8870
2020,85720,47070,38650,20910,12030,8880
2021,90390,50460,39930,21680,12740,8940
2022,89010,48690,40320,21170,12250,8920
2023,89380,49730,39650,21080,12320,8760
2024,89190,49220,39970,21050,12330,8720
