year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,29370,19100,10270,7320,4910,2410
2006,30990,20180,10810,7430,5050,2380
2007,34360,24180,10180,7550,5180,2370
2008,35310,25310,10000,7590,5210,2380
2009,35720,25240,10480,7600,5240,2360
2010,36540,25420,11120,7880,5430,2450
2011,39400,27710,11690,7900,5460,2440
2012,40250,28540,11710,7850,5440,2410
2013,41380,29620,11760,7890,5500,2390
2014,42440,30220,12220,8390,5730,2660
2015,45780,32670,13110,8650,6010,2640
2016,48330,34780,13550,9570,6910,2660
2017,49670,35720,13950,9700,7000,2700
2018,51540,37160,14380,10030,7280,2750
2019,53000,38140,14860,10860,7970,2890
2020,53260,38380,14880,10750,7760,2990
2021,54010,38800,15210,10850,7620,3230
2022,54000,38700,15300,11230,7870,3360
2023,54540,39290,15250,11580,8140,3440
2024,58450,41510,16940,12230,8700,3530
