year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,184800,102420,82380,168140,93990,74150
2006,186370,101900,84470,167050,93820,73230
2007,229400,127090,102310,164840,92910,71930
2008,232270,127880,104390,166280,94210,72070
2009,236990,129710,107280,163790,92240,71550
2010,240610,130600,110010,161670,89550,72120
2011,239320,128890,110430,161250,88890,72360
2012,244180,130270,113910,164770,91110,73660
2013,246210,131760,114450,163890,90600,73290
2014,242550,130000,112550,163660,90280,73380
2015,240390,130260,110130,162460,89750,72710
2016,243820,132620,111200,162510,89320,73190
2017,243170,133050,110120,160420,88100,72320
2018,253290,136400,116890,158770,87200,71570
2019,246440,130370,116070,147510,80380,67130
2020,247270,130340,116930,140730,76370,64360
2021,254170,132910,121260,137040,73340,63700
2022,254850,131450,123400,135360,72770,62590
2023,256290,131150,125140,132330,71170,61160
2024,252950,130090,122860,130450,69880,60570
